CSV Field Name,Contract Entity Fields,Required,Comments,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract
Customer Name,AccountID,Y,Must match name of an existing account in Autotask,Banner & Witcoff,Banner & Witcoff,Gray Hunter Stenn,Michuda Construction,Michuda Construction,Michuda Construction,Michuda Construction,Michuda Construction,Michuda Construction,Michuda Construction,Michuda Construction,Michuda Construction,Dommermuth Brestal Cobine,Dommermuth Brestal Cobine,Dommermuth Brestal Cobine,Dommermuth Brestal Cobine,Dommermuth Brestal Cobine,Dommermuth Brestal Cobine,Dommermuth Brestal Cobine,Fidelity Capital Holdings,Novack & Macey,Kamensky & Rubinstein,Kamensky & Rubinstein,Kamensky & Rubinstein,Kamensky & Rubinstein,Kamensky & Rubinstein,Kamensky & Rubinstein,Kamensky & Rubinstein,Gunty & McCarthy,Gunty & McCarthy,Gunty & McCarthy,Gunty & McCarthy,Gunty & McCarthy,Gunty & McCarthy,U.S.G. Corporation,Pircher Nichols & Meeks,Pircher Nichols & Meeks,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Freeman Freeman & Salzman,Robbins Salomon & Patt Ltd.,Robbins Salomon & Patt Ltd.,Robbins Salomon & Patt Ltd.,G.A. Johnson & Son,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Chuhak & Tecson P.C.,Herbolsheimer Henson Duncan,Herbolsheimer Henson Duncan,Herbolsheimer Henson Duncan,Levin Riback Law Group PC,Levin Riback Law Group PC,Levin Riback Law Group PC,Levin Riback Law Group PC,Levin Riback Law Group PC,Levin Riback Law Group PC,Levin Riback Law Group PC,Levin Riback Law Group PC,Lowis & Gellen,Fisher Kanaris P.C.,Schmitt's Truck Repair,Edon Construction,Pedersen & Houpt,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,Brinks Hofer Gilson & Lione,McCullough Campbell & Lane,McCullough Campbell & Lane,McCullough Campbell & Lane,McCullough Campbell & Lane,McCullough Campbell & Lane,McCullough Campbell & Lane,Mandell Menkes LLC,Mandell Menkes LLC,Mandell Menkes LLC,Mandell Menkes LLC,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,Horwood Marcus & Berk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Name,ContactName,N,Must be in first name last name format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,ContractName,Y,Must be unique,Mimecast,Security Services Support,Gray Hunter Stenn,Michuda Construction,Network Support Services,Web Site Development,2012 Budget,System Health Program Services,2013 Exchange & Fileser,Antivirus Upgrade 2014,Timberline Upgrade,Mimecast,Dommermuth Brestal Cobine & ,Network Support Services,Software Training Services,2009 New Exchange Server,System Health Program Services,SpamLion Maintenance,Mimecast,Network Support Services,Workshare Professional Softwar,Network Support Services,Hochman Document Transfer,Training Equipment Rental and ,Software Training Support,Word Training,Firm Contacts Automation,Workshare Professional Softwar,Network Support Services,System Health Program Services,AIG Audit- Related Upgrades,Spector Server Upgrade,Barracuda Backup,Mimecast,Workshare Professiona,Network Support Services,Workshare Professional Softwar,Network Support Services,On-Site Support Contract,Office Automation Development,SpamLion Implementation,Network Upgrade,Software Training Services,Firewall Install/Configuration,Web Site Design,2006 Network Upgrade,John Kinney Home Support,SpamLion Maintenance,Network Support Services,Microsoft Office 2010 Training,Workshare Professional Softwar,G.A. Johnson,Network Support Services,Temporary Employment ,Lunch-and-Learn,Software Training Services,iManage Sales,iManage Support,On Site ITStaffing,Summation iBlaze Upgrade,Workshare Professional Softwar,Network Support Services,Software Training Services,Autonomy/iManage Hosted DMS,General Computer Consulting,Office Relocation,Web Page Development,2011 Server Replacement,SQL Upgrade 2013,System Health Program Services,2014 Upgrades,Training - 2014 Upgrades,Workshare Professional Softwar,Daar Fisher Kanaris & Vanek,Schmitt's Truck Repair,Network Support Services,Workshare Professional Softwar,Network Installation,Network Support Services,SoftSolutions Support,Software Training Services,Help Desk Services,Washington D.C. Computers,General MIS Support & Assist.,Doc. Mgmt Eval. & Install,Regional Office LAN Installs,IT Staffing and Support,Network Support Services,Software - Interwoven,Training/Support,System Health Program,Windows 7 Compatibility Testin,Mimecast,Network Support Services,Software Training Services,SpamLion Maintenance,Workshare Professional Softwar,iManage & GroupWise Upgrade,Network Support Services,Microsoft Exchange Migration,BlackBerry Server Implementati,CLOSE Summation Training and S,Software Training Services,Footprints Annual Maintenance,Disaster Recovery,Websense Security Implementati,Network Vulnerability Scanning,Server Virtualization,Data Switches & Cable Clean-up,Software Licensing,System Health Program Services,Macro & Template Development,Exchange 2010 Migration,Wireless Setup,Network/ SAN Performance,nScaled Services,Dell Hardware,iManage Support,VDI Citrix Proof of Concept,eScan IT Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Description,N,,No monthly expense fee provided on SoW (5/13/13)  SoW- Training and prep $6100.00    (Estimated expenses) $2000 trainer travel. Remote Training on K2 Network $1200.00 (3200),CC:MYB /Two SoW  Security Policy Review & Business Continuity Disaster Recovery Plan each $8000 @$200 hr for 40 hrs/ (I) Assessment Policy Draft Presentation & Review of Roadmap. (II) Assessmt Presentation & review of Roadmap,2003 Server Upgrade,,CREATE WORK ORDER LIST FROM JURIS and put to EXCEL for client (no Outlook Calendar)      Invoices e-mail to: dsuess@michuda.com and gpotempa@michuda.com. ,Development for proposed scope not to exceed $4300.  Invoices e-mail to: dsuess@michuda.com and gpotempa@michuda.com. ,Invoices via e-mail,Invoices to be e-mailed to: dsuess@michuda.com and gpotempa@michuda.com.,SoW = Hardward = $35553.57     Staffing @$160 estm 193 hrs = $27792.00,SoW = $160 All Timkprs. estm 13 hrs = $2080 (no expenses listed),SoW= $2640.00 @ $165 hr all timekeepers  Hardware = Dell PowerEdge etc. $5606.87,,Use 10% discount fee schedule for this project,,,,,,$ 90.00 per month   Implementation cost $3500.00,,,, ,$ 500 for equipment rental (based on 10 days) 8 hours setup ,Eli Nussbaum referred us,copy to NXK, ,,,,oened at Aug pb, ,No SoW - via e-m,Monthly expense $270.00    (2013- Jan Prorated $72.00 start date 1/23 / Feb and Mar billed in March @$270,, ,,, ,Office Automation Development, , , , ,, , ,,,SoW - Review & Customization = $2400.00 / (2) Training Sessions $800 Attorney + $1000 Secretarial / Quick Reference Material $650.00 (Grand Total $4850.00),, ,Note:  MAKE SURE TIME IS PROPERLY ALLOCATED TO THIS NUMBER AND ENTRIES ARE NOT A PART OF CONTRACTUAL AGREEMENT.  Charges for internal K2 reviews and meetings should not be charged. (4/29/11), , ,CC:  NXK    All charges for training should be quoted to client in advance and approved by Michelle.  Attention should be made to hourly rates or flat fee negioiations not to exceed $200. (4/29/11), , ,$48.00 hr Overtime @ $72.00 hr., ,,, ,SoW $18340.00 Service Fees estimate.,All timekeepers @$150, , ,Max. $3600.00 @ $150 hr all tmkprs.,,,SOW = $10445. (Training separate matter $2400.00),CC;  NXK  /Part of SOW for Matter #100 - this matter for Training services only for Office 2013 - no engineering time.  $150 per hr all timekeepers per SR,,Formerly: Kostow & Daar (chg'd 10/23/97), ,At 1/2008 billing - Change billing timekeeper to SR per BRK,, ,Referral from TSI (John Terzich)  Referral Fee (10%) to TSI  direct number 321-4211, , ,12-16-08 -BILLING NOTE:  Help Desk support for their internal trainer Vida Campstra only per client and NXK e-mail of 12-16-08, , , , ,On Site Eng. services by Jon Tetlak for e/e leave. (March 2012),,,copy to NXK  Final Bill layout is JP0H., ,opend at Oct.'13 PB - no sow,cc:  SLK      Monthly expense $250.00, , ,,,,SCK - special billing notes, , ,8/8/12 SOW - $1500 per day for 2 days of training Day 1Admin Class Day 2 Basic Interm Class. (Total $3000)  see also Matter #190 for Summation Upgrade.,, ,,,EXN to remain at $180 hr per SLK,,,, , ,,, ,Total projected amount $28264.00  PAYMENT PLAN =  1st payment 50% (including tax and shipping) $11717.88 + $1142.49 tax + $100 shipping = $12960.37  2nd Paymt = $7066.00  3rd Paymt =  $7066.00,,, ,cc:  IAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Type,ContractType,Y,Time and Materials' 'Recurring' 'Incident'  'Block Hour' 'Retainer' or 'Fixed Price',Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Contract Number,ContractNumber,N,,500,550,13,0,11,36,43,75,100,101,102,500,9,11,23,40,75,200,500,11,450,11,12,22,23,24,25,450,11,75,100,101,102,500,450,11,450,11,12,13,15,18,23,34,36,40,100,200,11,100,450,11,11,15,22,23,25,26,119,191,450,11,23,100,4,9,37,40,41,75,100,101,450,0,0,11,450,10,11,17,23,24,25,26,27,28,41,10,15,23,75,108,500,11,23,200,450,8,11,13,14,18,23,30,40,46,47,49,50,53,75,99,100,103,104,105,108,109,110,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,Start date,N*,Must be before End Date. If not entered it will default to the current day's date.,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,EndDate,N*,Must be after Start Date. If not entered it will default to the current day's date.,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Preferences,BillingPreference,Y*,Required for 'Time and Materials' 'Block' 'Retainer' and 'Incident' contract types. Allowed Values: 'Reconcile' 'Timesheet' or 'Immediately',Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Cost,EstimatedCost,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
