CSV Field Name,Contract Entity Fields,Required,Comments,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract
Customer Name,AccountID,Y,Must match name of an existing account in Autotask,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Name,ContactName,N,Must be in first name last name format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,ContractName,Y,Must be unique,Emerson Invoice Program,Boston Network Support Service,Chicago - Floor Support,Software Training Services,iManage Software,iManage Support,FootPrint Licensing,Licensing Analysis/Trac,General Network Support Servic,WAN/Infrastructure Support,Lit Support Services,Sharepoint - Client Portal,Pepsi,Nike Project Management,Citrix Support,Summation Pro Planning,Autonomy IDOL Indexer Upgrade,Refresher Office 2012 Training,IRM Upgrade 2013,IT Recruiting/Staffing,DocAuto WorkSpace Manager,Worksite 9 Upgrade,2015 Citrix Upgrade,2015 Summation Migration II,Summation Enterp Supp Project,Domain Upgrade,nScaled,Managed Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Description,N,,,,All rates $85 unless otherwise specified - Per SR all rates $120 as of 8/14/02,,,,,Licensing Analysis/Tracking,,,Litgation Support / Summation Support,,,,,,Mock invoice sent to Banner December 27 2012 - Monies to PPD for actual application of project work in 2013.  (sck)  - ,Mock Invoice sent to client December 27 2012 - monies to PPD for application against actual work in 2013,,SoW = Permanent  recruitment staffing in Chicago Office hired by K2  and option for hire by Banner (15% recruiting fee of e/e 1st year salary)   Recruiting Engagement - hired by Banner  - no charge for first 3 months + background and reference,SoW = $7425.00 estimated Fees @$165.    Expense = $26775.00,,SoW= Software = $14520.00  Fees 50225 @175 hr all timekeepers estm 287 hrs,no SOW matter request at Feb prebilling,IAB- Work scheduled per client request need be basis $175 hr.,CC ASL / SoW = $175 hr Phase I CAs Migration 24 hrs =$4200 / Phase II Domain Migration 30 hrs =$5250  = Total $9450.00/ contingency 12 hrs = $2100.00,,SoW = $2187.50 per month On Boarding $6000.00 billed in February 2015 Contract term is 12 months 2/2015 through 2/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Type,ContractType,Y,Time and Materials' 'Recurring' 'Incident'  'Block Hour' 'Retainer' or 'Fixed Price',Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Time and Materials,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Contract Number,ContractNumber,N,,5,6,7,23,25,26,30,119,120,121,128,138,139,140,169,211,212,213,214,216,218,221,223,224,225,226,400,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,Start date,N*,Must be before End Date. If not entered it will default to the current day's date.,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,4/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,EndDate,N*,Must be after Start Date. If not entered it will default to the current day's date.,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,4/21/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Preferences,BillingPreference,Y*,Required for 'Time and Materials' 'Block' 'Retainer' and 'Incident' contract types. Allowed Values: 'Reconcile' 'Timesheet' or 'Immediately',Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,Reconcile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Cost,EstimatedCost,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
