CSV Field Name,Contract Entity Fields,Required,Comments,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract,Contract
Customer Name,AccountID,Y,Must match name of an existing account in Autotask,Banner & Witcoff,Banner & Witcoff,Banner & Witcoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Name,ContactName,N,Must be in first name last name format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,ContractName,Y,Must be unique,Emerson Invoice Program,Boston Network Support Service,Chicago - Floor Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Description,N,,,,All rates $85 unless otherwise specified - Per SR all rates $120 as of 8/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Type,ContractType,Y,Time and Materials' 'Recurring' 'Incident'  'Block Hour' 'Retainer' or 'Fixed Price',Time and Materials,Time and Materials,Time and Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Contract Number,ContractNumber,N,,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,Start date,N*,Must be before End Date. If not entered it will default to the current day's date.,4/21/2014,4/21/2014,4/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,EndDate,N*,Must be after Start Date. If not entered it will default to the current day's date.,4/21/2016,4/21/2016,4/21/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Preferences,BillingPreference,Y*,Required for 'Time and Materials' 'Block' 'Retainer' and 'Incident' contract types. Allowed Values: 'Reconcile' 'Timesheet' or 'Immediately',Reconcile,Reconcile,Reconcile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Cost,EstimatedCost,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Hours,EstimatedHours,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
